Partner Name,Partner Type,Region,Tier,Tivly Dist Align,Tivly SMB Focus,Tivly Digital CX,Tivly Lead Gen Fit,Tivly Fit Total
Bindable,Technology,NAM,Growth,5,5,5,5,20
Appulate Inc.,Technology,NAM,Growth,5,5,5,5,20
CogniSure,Technology,NAM,Growth,5,5,4,5,19
Vertafore,Technology,NAM,Growth,5,5,4,5,19
EasySend,Technology,"APAC, EMEA, LatAm, NAM",Growth,5,4,5,4,18
AgentSync,Technology,NAM,Growth,5,4,4,4,17
Convr,Technology,NAM,Growth,5,4,4,4,17
InsurePay,Technology,NAM,Growth,4,5,4,4,17
Ivans,Technology,NAM,Growth,5,4,4,4,17
One Inc,Technology,NAM,Premier,4,3,5,4,16
Pypestream,Technology,NAM,Growth,4,3,5,4,16
Ushur,Technology,"APAC, EMEA, NAM",Growth,4,3,5,4,16
Floatbot Inc,Technology,NAM,Growth,4,3,5,4,16
Smarty,Technology,NAM,Advantage,4,4,4,4,16
Docusign Inc,Technology,"APAC, EMEA, LatAm, NAM",Advantage,4,3,5,3,15
Earnix,Technology,"APAC, EMEA, LatAm, NAM",Growth,5,3,4,3,15
Gradient AI,Technology,NAM,Growth,4,4,3,3,14
Carpe Data,Technology,NAM,Growth,4,3,3,3,13
RegEd,Technology,NAM,Growth,5,3,3,3,14
LexisNexis,Technology,"APAC, EMEA, LatAm, NAM",Premier,4,3,3,3,13
Hi Marley,Technology,NAM,Premier,2,3,5,3,13
GhostDraft,Technology,"APAC, EMEA, NAM",Advantage,3,3,4,3,13
Indico Data Solutions,Technology,NAM,Advantage,4,3,3,3,13
Betterview by Nearmap,Technology,NAM,Advantage,4,3,3,3,13
Verisk Analytics,Technology,"APAC, EMEA, LatAm, NAM",Premier,4,3,3,3,13
CoreLogic,Technology,NAM,Premier,4,2,3,2,11
FRISS,Technology,"APAC, EMEA, LatAm, NAM",Advantage,3,2,3,2,10
Whatfix Inc.,Technology,"APAC, EMEA, LatAm, NAM",Advantage,2,2,4,2,10
OneSpan,Technology,"APAC, EMEA, LatAm, NAM",Advantage,3,2,4,2,11
Precisely,Technology,"APAC, EMEA, LatAm, NAM",Advantage,3,2,3,2,10
