player_id,Rank,Name,Team,Position,Tier,Mason Dodd Rank,Expert Rank
9221,1,Jahmyr Gibbs,DET,RB,S,1,1.13
9509,2,Bijan Robinson,ATL,RB,S,2,1.88
7564,3,Ja'Marr Chase,CIN,WR,S,3,3
9493,4,Puka Nacua,LAR,WR,S,4,4
9488,5,Jaxon Smith-Njigba,SEA,WR,S,5,5.75
4034,6,Christian McCaffrey,SF,RB,A,6,6.13
6813,7,Jonathan Taylor,IND,RB,A,7,9
7547,8,Amon-Ra St. Brown,DET,WR,A,8,6.88
6786,9,CeeDee Lamb,DAL,WR,A,9,9.75
6794,10,Justin Jefferson,MIN,WR,A,10,10.88
8138,11,James Cook,BUF,RB,B,11,9.88
9224,12,Chase Brown,CIN,RB,B,12,12.13
9226,13,Devon Achane,MIA,RB,B,13,13.75
4866,14,Saquon Barkley,PHI,RB,B,14,14.13
12507,15,Omarion Hampton,LAC,RB,B,15,13.88
8151,16,Kenneth Walker,KC,RB,B,16,15.25
12527,17,Ashton Jeanty,LV,RB,B,17,17.25
3198,18,Derrick Henry,BAL,RB,B,18,19
5859,19,A.J. Brown,NE,WR,B,19,21
8112,20,Drake London,ATL,WR,C,20,19.5
11604,21,Brock Bowers,LV,TE,C,21,20.88
7569,22,Nico Collins,HOU,WR,C,22,21.63
11632,23,Malik Nabers,NYG,WR,C,23,21.38
8130,24,Trey McBride,ARI,TE,C,24,28
8137,25,George Pickens,DAL,WR,C,25,24.13
10229,26,Rashee Rice,KC,WR,C,26,25.38
8144,27,Chris Olave,NO,WR,C,27,25.88
8155,28,Breece Hall,NYJ,RB,C,28,30.13
13242,29,Jeremiyah Love,ARI,RB,C,29,28.25
8150,30,Kyren Williams,LAR,RB,D,30,30.88
7588,31,Javonte Williams,DAL,RB,D,31,31.38
7543,32,Travis Etienne,NO,RB,D,32,39.88
7525,33,DeVonta Smith,PHI,WR,D,33,30.38
6801,34,Tee Higgins,CIN,WR,D,34,34.63
4984,35,Josh Allen,BUF,QB,D,35,38.5
9997,36,Zay Flowers,BAL,WR,D,36,33.5
7526,37,Jaylen Waddle,DEN,WR,D,37,34.25
12526,38,Tetairoa McMillan,CAR,WR,D,38,41.88
12514,39,Emeka Egbuka,TB,WR,D,39,39.88
11635,40,Ladd McConkey,LAC,WR,E,40,37.88
8146,41,Garrett Wilson,NYJ,WR,E,41,40.38
6790,42,D'Andre Swift,CHI,RB,E,42,44.25
5892,43,David Montgomery,HOU,RB,E,43,48.5
12517,44,Colston Loveland,CHI,TE,E,44,40.38
12512,45,Quinshon Judkins,CLE,RB,E,45,47.38
11584,46,Bucky Irving,TB,RB,E,46,43.75
